Target No.,Protein,TPS,rank_min,rank_max,rank_range
16,ANXA2,0.3442833509206217,81.0,93.0,12.0
10,LGALS3BP,0.2452132976452708,149.0,161.0,12.0
3,LGALS3BP,0.4010032043403064,46.0,58.0,12.0
12,LGALS3BP,0.2765000526585677,124.0,136.0,12.0
17,ENO1,0.3305810683842494,84.0,95.0,11.0
13,LGALS3BP,0.522570666156454,15.0,26.0,11.0
13,FN1,0.6388471642513774,11.0,22.0,11.0
14,ITGB1,0.2679105886191786,133.0,144.0,11.0
18,GAPDH,0.2270537402343603,160.0,170.0,10.0
9,FN1,0.2113687699824362,169.0,179.0,10.0
16,LDHA,0.1847065795282969,174.0,184.0,10.0
18,LGALS3BP,0.2147857056385032,166.0,176.0,10.0
7,PGK1,0.3374210965883577,86.0,96.0,10.0
4,LDHA,0.3395986003012612,80.0,90.0,10.0
18,LDHA,0.2132922847003245,167.0,177.0,10.0
18,ALDOA,0.2064947049861786,172.0,181.0,9.0
5,PKM,0.1328830096730338,187.0,196.0,9.0
1,FN1,0.2094516569698769,171.0,180.0,9.0
18,THBS1,0.2196339998526085,164.0,173.0,9.0
11,PGK1,0.1756094353775239,178.0,187.0,9.0
10,ENO1,0.2308730078388522,149.0,158.0,9.0
15,LDHA,0.3231095427257419,92.0,101.0,9.0
20,MFGE8,0.2627408124086292,143.0,152.0,9.0
4,PGK1,0.341001331448273,79.0,88.0,9.0
2,ANXA2,0.5158191037481168,27.0,36.0,9.0
5,ENO1,0.1364398743990088,185.0,194.0,9.0
11,ALDOA,0.267394007460381,138.0,147.0,9.0
14,TPI1,0.2657624602724887,141.0,150.0,9.0
9,GAPDH,0.2635812149515123,134.0,142.0,8.0
9,TPI1,0.2125353169048084,160.0,168.0,8.0
3,CD44,0.5575794991333538,21.0,29.0,8.0
20,GAPDH,0.4246911378080363,40.0,48.0,8.0
12,LDHA,0.2919663088921228,123.0,130.0,7.0
11,GAPDH,0.2251483670220427,162.0,169.0,7.0
5,LDHA,0.2045525232462337,167.0,174.0,7.0
15,ITGB1,0.1980650149017961,172.0,179.0,7.0
6,FN1,0.7084202846501891,7.0,14.0,7.0
18,ITGB1,0.1830483887659706,186.0,192.0,6.0
