pdb_file,pdbqt_file,status,error
FN1_P02751.pdb,ExoCarta_PDBQT_Files\FN1_P02751.pdbqt,FAILED,"No template matched for residue_key='A:116'
tried 6 templates for residue_key='A:116'excess_H_ok=False
LYS        heavy_miss=3 heavy_excess=3 H_excess=[] bond_miss=set() bond_excess=set()
NLYS       heavy_miss=3 heavy_excess=3 H_excess=[] bond_miss=set() bond_excess={4}
CLYS       heavy_miss=4 heavy_excess=3 H_excess=[] bond_miss=set() bond_excess={1}
LYN        heavy_miss=3 heavy_excess=3 H_excess=[] bond_miss=set() bond_excess=set()
NLYN       heavy_miss=3 heavy_excess=3 H_excess=[] bond_miss=set() bond_excess={4}
CLYN       heavy_miss=4 heavy_excess=3 H_excess=[] bond_miss=set() bond_excess={1}

matched with excess inter-residue bond(s): A:116
No template matched for residue_key='A:206'
tried 3 templates for residue_key='A:206'excess_H_ok=False
GLN        heavy_miss=1 heavy_excess=1 H_excess=[] bond_miss=set() bond_excess=set()
NGLN       heavy_miss=1 heavy_excess=1 H_excess=[] bond_miss=set() bond_excess={4}
CGLN       heavy_miss=2 heavy_excess=1 H_excess=[] bond_miss=set() bond_excess={1}

matched with excess inter-residue bond(s): A:206
No template matched for residue_key='A:597'
tried 3 templates for residue_key='A:597'excess_H_ok=False
TRP        heavy_miss=7 heavy_excess=7 H_excess=[] bond_miss=set() bond_excess=set()
NTRP       heavy_miss=7 heavy_excess=7 H_excess=[] bond_miss=set() bond_excess={4}
CTRP       heavy_miss=8 heavy_excess=7 H_excess=[] bond_miss=set() bond_excess={1}

matched with excess inter-residue bond(s): A:597
No template matched for residue_key='A:2154'
tried 3 templates for residue_key='A:2154'excess_H_ok=False
PRO        heavy_miss=4 heavy_excess=4 H_excess=[] bond_miss={4} bond_excess=set()
NPRO       heavy_miss=4 heavy_excess=4 H_excess=[] bond_miss=set() bond_excess=set()
CPRO       heavy_miss=5 heavy_excess=4 H_excess=[] bond_miss={5} bond_excess={1}

matched with excess inter-residue bond(s): A:2154"
GAPDH_P04406.pdb,ExoCarta_PDBQT_Files\GAPDH_P04406.pdbqt,SUCCESS,
GDI2_P50395.pdb,ExoCarta_PDBQT_Files\GDI2_P50395.pdbqt,SUCCESS,
GNAI2_P04899.pdb,ExoCarta_PDBQT_Files\GNAI2_P04899.pdbqt,SUCCESS,
GNB1_P62873.pdb,ExoCarta_PDBQT_Files\GNB1_P62873.pdbqt,SUCCESS,
GNB2_P62879.pdb,ExoCarta_PDBQT_Files\GNB2_P62879.pdbqt,SUCCESS,
GPI_P06744.pdb,ExoCarta_PDBQT_Files\GPI_P06744.pdbqt,SUCCESS,
HGS_O14964.pdb,ExoCarta_PDBQT_Files\HGS_O14964.pdbqt,SUCCESS,
HIST1H4A_P62805.pdb,ExoCarta_PDBQT_Files\HIST1H4A_P62805.pdbqt,SUCCESS,
HSP90AA1_P07900.pdb,ExoCarta_PDBQT_Files\HSP90AA1_P07900.pdbqt,SUCCESS,
