Target No.,Protein,equal_.33/.33/.33,0.50/0.30/0.20,0.50/0.20/0.30,0.40/0.35/0.25,0.40/0.30/0.30
1,ANXA2,0.42408111122147174,0.4973741162995669,0.5497262627839207,0.4436259125756304,0.4659628284089547
1,LGALS3BP,0.4006711874979621,0.3996268631603314,0.3988809172048809,0.4003927010079273,0.40007443073360177
1,SDCBP,0.2272069021012096,0.25491771853560286,0.2747111588458838,0.23459645315038116,0.24304165434943437
1,FN1,0.20945165696987697,0.209451656969877,0.209451656969877,0.209451656969877,0.209451656969877
1,MFGE8,0.39850465802746043,0.3660096104131134,0.3427988621171513,0.38983931199696786,0.37993605939069075
1,GAPDH,0.3688185854136263,0.4428414135852146,0.49571486227920636,0.3885580062593832,0.41111734436881964
1,LDHA,0.4177108090085993,0.48032032944256736,0.5250414154668304,0.4344066811243241,0.45348767782800964
1,PGK1,0.4061156296368202,0.49552332492481316,0.5593859644162368,0.42995768171361837,0.4572057412299591
1,ALDOA,0.3209307670018836,0.37449679208568787,0.41275823857411953,0.3352150403575647,0.3515399241926289
1,ENO1,0.355221328924797,0.4264509035802387,0.4773291711912685,0.3742158821662482,0.3959239430136209
2,ANXA2,0.5158191037481168,0.42378320107672063,0.48831047380399334,0.45964656086137645,0.49191019722501284
2,LGALS3BP,0.2981112509122097,0.26613657333801155,0.30062142182286,0.2749759253370758,0.2922183495795001
2,FN1,0.6344376531215736,0.5017680758879624,0.5570470664019669,0.5630001884573214,0.5902144607103698
2,MFGE8,0.32584995881369994,0.2862113018569135,0.3234294836750954,0.2988290414855308,0.3174381323946217
2,SDCBP,0.4591867630772419,0.3786468112825295,0.4375801446158628,0.40929078235935695,0.4387574490260236
2,GAPDH,0.6056190454629663,0.45588435066138067,0.5182738068287079,0.5249926713390356,0.5557074805291045
2,LDHA,0.32098658261657914,0.31417987392486874,0.34327987392486875,0.309533899139895,0.324083899139895
2,PKM,0.31904025906675315,0.28124523708497823,0.3340876613274024,0.28806952300131594,0.314490735122528
2,TPI1,0.3276661621078746,0.31158409164666034,0.35862651588908456,0.30712060665066165,0.33064181877187376
2,PGK1,0.15711959622710991,0.18064191952631162,0.19744357902574142,0.1633922157735637,0.17056092382665375
3,ANXA2,0.5349932502066199,0.6273656328856876,0.6570535116735665,0.5630358396418834,0.5778797790358229
3,LGALS3BP,0.4010032043403064,0.39188965499530815,0.40883207923773235,0.3922750573295799,0.40074626945079195
3,SDCBP,0.4354536838979988,0.3988625594179532,0.37272604193220626,0.42569605070332006,0.41454446990940136
3,FN1,0.40840650248832944,0.33443786069761355,0.3652581281104118,0.3685772338317901,0.3837502885580908
3,CD44,0.5575794991333538,0.4500389456697277,0.49962379415457614,0.49968782320244876,0.5244802474448731
3,GAPDH,0.3741252636201998,0.33685759239999674,0.37244244088484524,0.34854274058666407,0.3663351648290883
3,ALDOA,0.29497770355132563,0.3020554627724904,0.3071110050733224,0.2968651060103029,0.2990221373919913
3,ENO1,0.37697742814455104,0.3728843240350085,0.3885934149440994,0.3706274592280068,0.3784820046825522
3,EEF1A1,0.31766309437571966,0.31526068615146774,0.31354468027700216,0.3170224521825858,0.31629028967614714
3,PKM,0.31861248552633414,0.3206898493321601,0.32217368062203583,0.3191664492078877,0.3197995505582347
4,FN1,0.4789685487823576,0.3795264982605108,0.420960685977947,0.425422829270594,0.4458211986084087
4,THBS1,0.43102215174986425,0.37820292459449345,0.4017877730793419,0.4028190063422614,0.41461143058468564
4,ANXA2,0.39201678432179654,0.38221911587663415,0.4403160855736039,0.3706686260346407,0.39971711088312556
4,MFGE8,0.2890269974238596,0.29401101950709724,0.29757103528083845,0.2903560699793896,0.29187501004285255
4,LGALS3BP,0.3209273387324168,0.3120682643246119,0.3057403540333227,0.3185649188903355,0.3158650104993854
4,GAPDH,0.21816701839423436,0.25695119723521714,0.28465418212163346,0.22850946608516312,0.24032940630336744
4,LDHA,0.3395986003012612,0.3444982503765765,0.34799800043037316,0.3409051736546786,0.3423984003442986
