interaction_id,target_no,group,protein,receptor,structure_filename,structure_source,model_type,structure_format,available
T14_PGK1,14,7,PGK1,AXL,14test7_4eaa7_14test7_4eaa7_unrelaxed_rank_001_alphafold2_multimer_v3_model_1_seed_000.pdb,ColabFold (AlphaFold2-Multimer),alphafold2_multimer_v3,pdb,True
T14_LDHA,14,8,LDHA,AXL,14test8_b9b28_14test8_b9b28_unrelaxed_rank_001_alphafold2_multimer_v3_model_2_seed_000.pdb,ColabFold (AlphaFold2-Multimer),alphafold2_multimer_v3,pdb,True
T14_TPI1,14,9,TPI1,AXL,14test9_8cd73_14test9_8cd73_unrelaxed_rank_001_alphafold2_multimer_v3_model_2_seed_000.pdb,ColabFold (AlphaFold2-Multimer),alphafold2_multimer_v3,pdb,True
T14_ALDOA,14,10,ALDOA,AXL,14test10_df5b5_14test10_df5b5_unrelaxed_rank_001_alphafold2_multimer_v3_model_2_seed_000.pdb,ColabFold (AlphaFold2-Multimer),alphafold2_multimer_v3,pdb,True
T15_FN1,15,1,FN1,MET / c-MET,fold_15_test_1_model_0.pdb,AlphaFold3,alphafold3,pdb,True
T15_ITGB1,15,2,ITGB1,MET / c-MET,15test2_6a86e_15test2_6a86e_unrelaxed_rank_001_alphafold2_multimer_v3_model_1_seed_000.pdb,ColabFold (AlphaFold2-Multimer),alphafold2_multimer_v3,pdb,True
T15_ANXA2,15,3,ANXA2,MET / c-MET,15test3_e2c35_15test3_e2c35_unrelaxed_rank_001_alphafold2_multimer_v3_model_4_seed_000.pdb,ColabFold (AlphaFold2-Multimer),alphafold2_multimer_v3,pdb,True
T15_LGALS3BP,15,4,LGALS3BP,MET / c-MET,15test4_d2595_15test4_d2595_unrelaxed_rank_001_alphafold2_multimer_v3_model_2_seed_000.pdb,ColabFold (AlphaFold2-Multimer),alphafold2_multimer_v3,pdb,True
T15_HSP90AA1,15,5,HSP90AA1,MET / c-MET,15test5_2b2cc_15test5_2b2cc_unrelaxed_rank_001_alphafold2_multimer_v3_model_1_seed_000.pdb,ColabFold (AlphaFold2-Multimer),alphafold2_multimer_v3,pdb,True
T15_GAPDH,15,6,GAPDH,MET / c-MET,15test6_d35f9_15test6_d35f9_unrelaxed_rank_001_alphafold2_multimer_v3_model_3_seed_000.pdb,ColabFold (AlphaFold2-Multimer),alphafold2_multimer_v3,pdb,True
T15_LDHA,15,7,LDHA,MET / c-MET,15test7_53f6e_15test7_53f6e_unrelaxed_rank_001_alphafold2_multimer_v3_model_2_seed_000.pdb,ColabFold (AlphaFold2-Multimer),alphafold2_multimer_v3,pdb,True
T15_PGK1,15,8,PGK1,MET / c-MET,15test8_f2452_15test8_f2452_unrelaxed_rank_001_alphafold2_multimer_v3_model_5_seed_000.pdb,ColabFold (AlphaFold2-Multimer),alphafold2_multimer_v3,pdb,True
T15_ALDOA,15,9,ALDOA,MET / c-MET,15test9_fb6bf_15test9_fb6bf_unrelaxed_rank_001_alphafold2_multimer_v3_model_5_seed_000.pdb,ColabFold (AlphaFold2-Multimer),alphafold2_multimer_v3,pdb,True
T15_ENO1,15,10,ENO1,MET / c-MET,15test10_fb6bf_15test10_fb6bf_unrelaxed_rank_001_alphafold2_multimer_v3_model_5_seed_000.pdb,ColabFold (AlphaFold2-Multimer),alphafold2_multimer_v3,pdb,True
T16_FN1,16,1,FN1,ROR1,fold_16_test_1_model_0.pdb,AlphaFold3,alphafold3,pdb,True
T16_ITGB1,16,2,ITGB1,ROR1,16test2_ff310_16test1_ff310_unrelaxed_rank_001_alphafold2_multimer_v3_model_5_seed_000.pdb,ColabFold (AlphaFold2-Multimer),alphafold2_multimer_v3,pdb,True
T16_ANXA2,16,3,ANXA2,ROR1,16test3_6ce2c_16test3_6ce2c_unrelaxed_rank_001_alphafold2_multimer_v3_model_2_seed_000.pdb,ColabFold (AlphaFold2-Multimer),alphafold2_multimer_v3,pdb,True
T16_LGALS3BP,16,4,LGALS3BP,ROR1,16test4_b1f18_16test4_b1f18_unrelaxed_rank_001_alphafold2_multimer_v3_model_2_seed_000.pdb,ColabFold (AlphaFold2-Multimer),alphafold2_multimer_v3,pdb,True
T16_MFGE8,16,5,MFGE8,ROR1,16test5_ecbd8_16test5_ecbd8_unrelaxed_rank_001_alphafold2_multimer_v3_model_5_seed_000.pdb,ColabFold (AlphaFold2-Multimer),alphafold2_multimer_v3,pdb,True
T16_GAPDH,16,6,GAPDH,ROR1,16test6_f3a2e_16test6_f3a2e_unrelaxed_rank_001_alphafold2_multimer_v3_model_4_seed_000.pdb,ColabFold (AlphaFold2-Multimer),alphafold2_multimer_v3,pdb,True
T16_LDHA,16,7,LDHA,ROR1,16test7_d605a_16test7_d605a_unrelaxed_rank_001_alphafold2_multimer_v3_model_4_seed_000.pdb,ColabFold (AlphaFold2-Multimer),alphafold2_multimer_v3,pdb,True
T16_PKM,16,8,PKM,ROR1,16test8_e7f5e_16test8_e7f5e_unrelaxed_rank_001_alphafold2_multimer_v3_model_2_seed_000.pdb,ColabFold (AlphaFold2-Multimer),alphafold2_multimer_v3,pdb,True
T16_PGK1,16,9,PGK1,ROR1,16test9_95ab3_16test9_95ab3_unrelaxed_rank_001_alphafold2_multimer_v3_model_1_seed_000.pdb,ColabFold (AlphaFold2-Multimer),alphafold2_multimer_v3,pdb,True
T16_TPI1,16,10,TPI1,ROR1,16test10_5684e_16test10_5684e_unrelaxed_rank_001_alphafold2_multimer_v3_model_2_seed_000.pdb,ColabFold (AlphaFold2-Multimer),alphafold2_multimer_v3,pdb,True
T17_FN1,17,1,FN1,RON / MST1R,fold_17_test_1_model_0.pdb,AlphaFold3,alphafold3,pdb,True
T17_ITGB1,17,2,ITGB1,RON / MST1R,17test2_782cd_17test2_782cd_unrelaxed_rank_001_alphafold2_multimer_v3_model_4_seed_000.pdb,ColabFold (AlphaFold2-Multimer),alphafold2_multimer_v3,pdb,True
T17_ANXA2,17,3,ANXA2,RON / MST1R,17test3_c549a_17test3_c549a_unrelaxed_rank_001_alphafold2_multimer_v3_model_2_seed_000.pdb,ColabFold (AlphaFold2-Multimer),alphafold2_multimer_v3,pdb,True
T17_MFGE8,17,4,MFGE8,RON / MST1R,17test4_3110d_17test4_3110d_unrelaxed_rank_001_alphafold2_multimer_v3_model_2_seed_000.pdb,ColabFold (AlphaFold2-Multimer),alphafold2_multimer_v3,pdb,True
T17_THBS1,17,5,THBS1,RON / MST1R,17test5_49319_17test5_49319_unrelaxed_rank_001_alphafold2_multimer_v3_model_3_seed_000.pdb,ColabFold (AlphaFold2-Multimer),alphafold2_multimer_v3,pdb,True
T17_GAPDH,17,6,GAPDH,RON / MST1R,17test6_1a01f_17test6_1a01f_unrelaxed_rank_001_alphafold2_multimer_v3_model_3_seed_000.pdb,ColabFold (AlphaFold2-Multimer),alphafold2_multimer_v3,pdb,True
T17_ALDOA,17,7,ALDOA,RON / MST1R,17test7_53cf7_17test7_53cf7_unrelaxed_rank_001_alphafold2_multimer_v3_model_2_seed_000.pdb,ColabFold (AlphaFold2-Multimer),alphafold2_multimer_v3,pdb,True
T17_LDHA,17,8,LDHA,RON / MST1R,17test8_a0913_17test8_a0913_unrelaxed_rank_001_alphafold2_multimer_v3_model_2_seed_000.pdb,ColabFold (AlphaFold2-Multimer),alphafold2_multimer_v3,pdb,True
T17_ENO1,17,9,ENO1,RON / MST1R,17test9_dd199_17test9_dd199_unrelaxed_rank_001_alphafold2_multimer_v3_model_3_seed_000.pdb,ColabFold (AlphaFold2-Multimer),alphafold2_multimer_v3,pdb,True
T17_TKT,17,10,TKT,RON / MST1R,17test10_0b797_17test10_0b797_unrelaxed_rank_001_alphafold2_multimer_v3_model_2_seed_000.pdb,ColabFold (AlphaFold2-Multimer),alphafold2_multimer_v3,pdb,True
T18_FN1,18,1,FN1,CSPG4,fold_18_test_1_model_0.pdb,AlphaFold3,alphafold3,pdb,True
T18_THBS1,18,2,THBS1,CSPG4,fold_18_test_2_model_0.pdb,AlphaFold3,alphafold3,pdb,True
T18_MFGE8,18,3,MFGE8,CSPG4,fold_18_test_3_model_0.pdb,AlphaFold3,alphafold3,pdb,True
T18_ITGB1,18,4,ITGB1,CSPG4,fold_18_test_4_model_0.pdb,AlphaFold3,alphafold3,pdb,True
T18_LGALS3BP,18,5,LGALS3BP,CSPG4,fold_18_test_5_model_0.pdb,AlphaFold3,alphafold3,pdb,True
T18_GAPDH,18,6,GAPDH,CSPG4,fold_18_test_6_model_0.pdb,AlphaFold3,alphafold3,pdb,True
T18_LDHA,18,7,LDHA,CSPG4,fold_18_test_7_model_0.pdb,AlphaFold3,alphafold3,pdb,True
T18_PGK1,18,8,PGK1,CSPG4,fold_18_test_8_model_0.pdb,AlphaFold3,alphafold3,pdb,True
T18_PKM,18,9,PKM,CSPG4,fold_18_test_9_model_0.pdb,AlphaFold3,alphafold3,pdb,True
T18_ALDOA,18,10,ALDOA,CSPG4,fold_18_test_10_model_0.pdb,AlphaFold3,alphafold3,pdb,True
T19_FN1,19,1,FN1,IGF1R,fold_19_test_1_model_0.pdb,AlphaFold3,alphafold3,pdb,True
T19_ITGB1,19,2,ITGB1,IGF1R,19test2_db433_19test2_db433_unrelaxed_rank_001_alphafold2_multimer_v3_model_1_seed_000.pdb,ColabFold (AlphaFold2-Multimer),alphafold2_multimer_v3,pdb,True
T19_ANXA2,19,3,ANXA2,IGF1R,19test3_ae4e8_19test3_ae4e8_unrelaxed_rank_001_alphafold2_multimer_v3_model_1_seed_000.pdb,ColabFold (AlphaFold2-Multimer),alphafold2_multimer_v3,pdb,True
T19_MFGE8,19,4,MFGE8,IGF1R,19test4_4625c_19test4_4625c_unrelaxed_rank_001_alphafold2_multimer_v3_model_3_seed_000.pdb,ColabFold (AlphaFold2-Multimer),alphafold2_multimer_v3,pdb,True
T19_LGALS3BP,19,5,LGALS3BP,IGF1R,19test5_7183e_19test5_7183e_unrelaxed_rank_001_alphafold2_multimer_v3_model_5_seed_000.pdb,ColabFold (AlphaFold2-Multimer),alphafold2_multimer_v3,pdb,True
T19_GAPDH,19,6,GAPDH,IGF1R,19test6_89cd0_19test6_89cd0_unrelaxed_rank_001_alphafold2_multimer_v3_model_1_seed_000.pdb,ColabFold (AlphaFold2-Multimer),alphafold2_multimer_v3,pdb,True
T19_ENO1,19,7,ENO1,IGF1R,19test7_00e4d_19test7_00e4d_unrelaxed_rank_001_alphafold2_multimer_v3_model_1_seed_000.pdb,ColabFold (AlphaFold2-Multimer),alphafold2_multimer_v3,pdb,True
T19_LDHA,19,8,LDHA,IGF1R,19test8_006cc_19test8_006cc_unrelaxed_rank_001_alphafold2_multimer_v3_model_2_seed_000.pdb,ColabFold (AlphaFold2-Multimer),alphafold2_multimer_v3,pdb,True
T19_PGK1,19,9,PGK1,IGF1R,19test9_c9465_19test9_c9465_unrelaxed_rank_001_alphafold2_multimer_v3_model_1_seed_000.pdb,ColabFold (AlphaFold2-Multimer),alphafold2_multimer_v3,pdb,True
T19_TPI1,19,10,TPI1,IGF1R,19test10_6c97f_19test10_6c97f_unrelaxed_rank_001_alphafold2_multimer_v3_model_3_seed_000.pdb,ColabFold (AlphaFold2-Multimer),alphafold2_multimer_v3,pdb,True
T20_FN1,20,1,FN1,CXCR4,fold_20_test_1_model_0.pdb,AlphaFold3,alphafold3,pdb,True
T20_LGALS3BP,20,2,LGALS3BP,CXCR4,20test2_422a2_20test2_422a2_unrelaxed_rank_001_alphafold2_multimer_v3_model_2_seed_000.pdb,ColabFold (AlphaFold2-Multimer),alphafold2_multimer_v3,pdb,True
T20_ANXA2,20,3,ANXA2,CXCR4,20test3_630ac_20test3_630ac_unrelaxed_rank_001_alphafold2_multimer_v3_model_4_seed_000.pdb,ColabFold (AlphaFold2-Multimer),alphafold2_multimer_v3,pdb,True
T20_MFGE8,20,4,MFGE8,CXCR4,20test4_8ac1e_20test4_8ac1e_unrelaxed_rank_001_alphafold2_multimer_v3_model_4_seed_000.pdb,ColabFold (AlphaFold2-Multimer),alphafold2_multimer_v3,pdb,True
T20_ITGB1,20,5,ITGB1,CXCR4,20test5_2adde_20test5_2adde_unrelaxed_rank_001_alphafold2_multimer_v3_model_2_seed_000.pdb,ColabFold (AlphaFold2-Multimer),alphafold2_multimer_v3,pdb,True
T20_GAPDH,20,6,GAPDH,CXCR4,20test6_785d7_20test6_785d7_unrelaxed_rank_001_alphafold2_multimer_v3_model_2_seed_000.pdb,ColabFold (AlphaFold2-Multimer),alphafold2_multimer_v3,pdb,True
T20_LDHA,20,7,LDHA,CXCR4,20test7_1668c_20test7_1668c_unrelaxed_rank_001_alphafold2_multimer_v3_model_3_seed_000.pdb,ColabFold (AlphaFold2-Multimer),alphafold2_multimer_v3,pdb,True
T20_PKM,20,8,PKM,CXCR4,20test8_785d7_20test8_785d7_unrelaxed_rank_001_alphafold2_multimer_v3_model_2_seed_000.pdb,ColabFold (AlphaFold2-Multimer),alphafold2_multimer_v3,pdb,True
T20_ALDOA,20,9,ALDOA,CXCR4,20test9_690d7_20test9_690d7_unrelaxed_rank_001_alphafold2_multimer_v3_model_4_seed_000.pdb,ColabFold (AlphaFold2-Multimer),alphafold2_multimer_v3,pdb,True
T20_ENO1,20,10,ENO1,CXCR4,20test10_eaff4_20test10_eaff4_unrelaxed_rank_001_alphafold2_multimer_v3_model_2_seed_000.pdb,ColabFold (AlphaFold2-Multimer),alphafold2_multimer_v3,pdb,True
